observation_date,TENEXPCHAREARISPRE
2000-01-01,1.3412394
2000-02-01,1.3371627
2000-03-01,1.2866908
2000-04-01,1.2381495
2000-05-01,1.2850955
2000-06-01,1.1990852
2000-07-01,1.1860898
2000-08-01,1.2015475
2000-09-01,1.1735708
2000-10-01,1.1829336
2000-11-01,1.1831542
2000-12-01,1.1622569
2001-01-01,1.1383360
2001-02-01,1.1363542
2001-03-01,1.1397020
2001-04-01,1.1555527
2001-05-01,1.2058633
2001-06-01,1.2277710
2001-07-01,1.2288033
2001-08-01,1.1989245
2001-09-01,1.1587240
2001-10-01,1.1188325
2001-11-01,1.1137575
2001-12-01,1.2461506
2002-01-01,1.3580120
2002-02-01,1.3123732
2002-03-01,1.2880281
2002-04-01,1.3464267
2002-05-01,1.2756869
2002-06-01,1.2535915
2002-07-01,1.2169815
2002-08-01,1.1797419
2002-09-01,1.1568860
2002-10-01,1.1418255
2002-11-01,1.1829783
2002-12-01,1.2647531
2003-01-01,1.1969138
2003-02-01,1.1772516
2003-03-01,1.1518810
2003-04-01,1.1920924
2003-05-01,1.2140376
2003-06-01,1.1568499
2003-07-01,1.1886766
2003-08-01,1.4043515
2003-09-01,1.4043422
2003-10-01,1.3052642
2003-11-01,1.3863626
2003-12-01,1.3599259
2004-01-01,1.3131558
2004-02-01,1.2762915
2004-03-01,1.2376694
2004-04-01,1.2164152
2004-05-01,1.3867434
2004-06-01,1.3734061
2004-07-01,1.3415503
2004-08-01,1.3122118
2004-09-01,1.2401586
2004-10-01,1.2493974
2004-11-01,1.2183370
2004-12-01,1.2739643
2005-01-01,1.2570988
2005-02-01,1.2475411
2005-03-01,1.2800226
2005-04-01,1.2789227
2005-05-01,1.2218080
2005-06-01,1.2025153
2005-07-01,1.2140319
2005-08-01,1.2407981
2005-09-01,1.0781531
2005-10-01,1.1991322
2005-11-01,1.2688305
2005-12-01,1.2720147
2006-01-01,1.2359447
2006-02-01,1.2850912
2006-03-01,1.2783066
2006-04-01,1.2794002
2006-05-01,1.2906453
2006-06-01,1.2901259
2006-07-01,1.2772985
